ronald r. yager, 423.26785714285717
h. vincent poor, 410.05086996337
irith pomeranz, 380.9458333333334
witold pedrycz, 374.829365079365
wei li, 344.26238697985013
wei wang, 342.12633482109277
t. d. wilson, 337.0166666666667
yu zhang, 334.07215811965807
chin-chen chang 0001, 330.86011904761915
li zhang, 330.2102366566182
wei zhang, 321.81596667221663
elisa bertino, 319.8482253857254
mohamed-slim alouini, 318.6247023809524
xin wang, 318.2406829281829
yang liu, 313.69686862050986
vladik kreinovich, 307.75748556998553
noga alon, 306.84990079365076
david eppstein, 305.67343073593076
philip s. yu, 302.6665424852924
joseph y. halpern, 302.0833333333333
yong wang, 293.33199578199583
jing wang, 292.97038743420313
lei zhang, 283.17850292981865
azzedine boukerche, 281.5759920634921
jing li, 281.1182839627692
jun wang, 278.9441784177118
moshe y. vardi, 271.0742063492064
robert l. glass, 269.8511904761905
lajos hanzo, 267.2994942557441
jie wu 0001, 259.12509920634915
wei chen, 256.8277668889082
lei wang, 256.0090864690864
oded goldreich 0001, 254.93214285714288
wil m. p. van der aalst, 253.62704725829724
georgios b. giannakis, 253.29285714285714
jun zhang, 250.2021825396825
diane crawford, 249.0
thomas s. huang, 248.35356449106445
victor c. m. leung, 247.91114718614713
loet leydesdorff, 244.97083333333333
hui li, 244.58345769727347
hai jin 0001, 243.0370238095238
peter g. neumann, 242.97925495557072
kang g. shin, 242.95295121545118
edwin r. hancock, 240.86458333333326
norman c. beaulieu, 238.86071428571432
ying zhang, 238.76150550838048
yan zhang, 238.64851336465463
vishwani d. agrawal, 236.99047619047622
jing zhang, 236.45119914700015
didier dubois, 236.26207581118572
jiawei han 0001, 235.0473996999732
nadia magnenat-thalmann, 234.86466074774899
jian wang, 234.6375417045115
yang li, 231.8834887334887
wei liu, 230.20167073423653
yan li, 229.78784365666633
sajal k. das, 228.35119047619045
xin li, 227.29845987345982
wen gao 0001, 227.0539386052543
yang yang, 226.6874299311799
xi chen, 224.63864052614053
jian li, 222.34707698910282
anil k. jain 0001, 219.65698051948047
xiang li, 219.25778318903318
christoph meinel, 216.30634920634915
jian zhang, 215.13318019699597
shusaku tsumoto, 213.6655774780775
azriel rosenfeld, 213.38750000000002
harold joseph highland, 213.375
sudhakar m. reddy, 213.22692099567098
li li, 212.76944197443427
rama chellappa, 212.5306547619048
ying li, 210.21488274797096
neri merhav, 210.03333333333333
robert schober, 209.62922077922076
elena maceviciute, 208.84429824561403
yan wang, 208.38237179487177
ajith abraham, 206.9679924242424
grzegorz rozenberg, 206.44358974358974
peng li, 205.79624125874125
saharon shelah, 205.30416666666667
robert w. heath jr., 204.98538961038966
david alan grier, 204.8375
c.-c. jay kuo, 204.83162878787883
bin wang, 204.61381188256183
bo zhang, 203.8518093018093
krishnendu chakrabarty, 203.82658730158732
ian f. akyildiz, 203.26749639249633
christos h. papadimitriou, 203.25003607503604
micha sharir, 202.34805194805196
jack j. dongarra, 202.23115426326342
holger boche, 201.50416666666663
yu liu, 201.22752109002107
eitan altman, 200.30873015873016
ying wang, 199.86517649017645
yi wang, 199.74859535888947
erol gelenbe, 199.40051587301585
louis kruh, 199.16666666666669
viktor k. prasanna, 198.579389483066
